,beat,beat_num,district,sector,count_l_stops,count_bus_stops,count_metra_stops,count_restaurants,count_bars,count_daycares,count_entertainment,count_businesses,road_distance_ft,TOTAL POPULATION,dist_to_police,dist_to_hospital
180,2,2524,25,2,0.0,27.0,1.0,41.0,4.0,4.0,2.0,108.0,190350.35124774877,11494.957851805993,8616.289203057338,4425.054127482601
181,1,1414,14,1,0.0,23.0,0.0,80.0,50.0,1.0,13.0,74.0,142956.92241007285,8310.753506191917,1367.0684828723972,7243.875214814345
182,1,2512,25,1,0.0,76.0,2.0,74.0,22.0,1.0,5.0,159.0,292217.848716553,20264.39043355808,7354.8257604289975,1466.4026771790477
183,3,1431,14,3,1.0,31.0,0.0,52.0,26.0,2.0,4.0,83.0,138507.68780746497,8160.67504307512,1570.6193580428283,5942.315319360896
184,1,1413,14,1,0.0,26.0,0.0,29.0,13.0,4.0,2.0,60.0,160409.8608572342,10723.850369805965,3921.9426548109636,7843.319534419683
185,1,1811,18,1,0.0,17.0,0.0,90.0,45.0,7.0,3.0,214.0,238299.02751001788,9097.492217899477,7663.28105659511,4062.4634882199643
186,2,2525,25,2,0.0,21.0,0.0,29.0,8.0,2.0,3.0,85.0,147096.99615979602,10593.560227816173,7196.898360363953,7184.169598889343
187,2,2522,25,2,0.0,31.0,0.0,44.0,5.0,1.0,0.0,133.0,211903.45421446307,15604.867920379633,5889.053019745737,8214.174218714114
188,1,1813,18,1,0.0,22.0,0.0,53.0,31.0,4.0,6.0,106.0,134802.75878773644,8757.892084063338,4220.741784734132,3842.1894122032704
189,2,1422,14,2,0.0,30.0,0.0,41.0,8.0,3.0,1.0,74.0,201967.31740006144,12025.392108989538,5756.429660645233,4699.862563112198
190,3,1433,14,3,0.0,30.0,1.0,66.0,36.0,3.0,11.0,178.0,206836.18818450638,8171.172940155907,6487.07929306372,5632.486255064413
191,3,1434,14,3,1.0,40.0,0.0,90.0,41.0,13.0,6.0,202.0,187054.8532552178,11020.867490357425,4949.135109059194,2502.1095457541633
192,3,2535,25,3,0.0,33.0,0.0,35.0,6.0,3.0,1.0,86.0,192396.33187360273,11069.334800544517,7672.749597269546,6825.9787965420755
193,3,2534,25,3,0.0,29.0,0.0,40.0,7.0,9.0,1.0,119.0,178983.43375811187,14027.159918099607,9641.677650907677,7668.033079531675
194,3,2533,25,3,0.0,67.0,1.0,40.0,7.0,0.0,1.0,157.0,258497.6953053911,7828.567980805829,5983.9756140279915,9906.754278287883
195,1,2513,25,1,0.0,31.0,1.0,29.0,4.0,6.0,0.0,98.0,169045.21490372092,7861.5586622495475,7195.097615224092,2729.8928281839994
196,2,1824,18,2,1.0,41.0,0.0,75.0,79.0,3.0,12.0,176.0,143829.05693363043,20553.959508969045,4277.821803147896,4217.971969054217
197,2,1821,18,2,1.0,31.0,0.0,90.0,38.0,3.0,12.0,129.0,114383.40106260043,11322.97962445402,2283.9193213548833,6379.051398461698
198,2,1822,18,2,1.0,24.0,0.0,65.0,30.0,5.0,11.0,197.0,225106.93764975056,2590.7440036137336,1818.7784867680703,7408.014444654497
199,2,1424,14,2,1.0,30.0,0.0,138.0,96.0,5.0,31.0,183.0,153368.25658308,8853.961952477903,7434.27491516814,1829.1885130382364
200,2,0722,07,2,0.0,18.0,0.0,6.0,0.0,0.0,0.0,11.0,167415.6944704391,4125.689762011532,7498.545512961636,1647.4129556835655
201,2,0723,07,2,1.0,22.0,0.0,11.0,0.0,3.0,0.0,24.0,143945.01726165356,4728.012823533869,4601.184980344397,3504.7783300785995
202,2,0724,07,2,0.0,19.0,0.0,14.0,0.0,3.0,0.0,4.0,140292.97226689412,4069.1456791821524,2527.47724046112,6027.788985503528
